text,category
ನೀರು ಬರುತ್ತಿಲ್ಲ,water
ನೀರಿನ ಸರಬರಾಜು ಇಲ್ಲ,water
ನೀರಿನ ಸಮಸ್ಯೆ ಇದೆ,water
ಕುಡಿಯುವ ನೀರು ಇಲ್ಲ,water
ನೀರು ತುಂಬಾ ಕಡಿಮೆ ಬರುತ್ತಿದೆ,water
ನೀರು ಅಶುದ್ಧವಾಗಿದೆ,water
ಪೈಪ್ ಲೀಕ್ ಆಗಿದೆ,water
ನೀರು ಸರಿಯಾಗಿ ಹರಿಯುತ್ತಿಲ್ಲ,water
ರಸ್ತೆ ಕೆಟ್ಟಿದೆ,road
ರಸ್ತೆಯಲ್ಲಿ ಗುಂಡಿಗಳಿವೆ,road
ರಸ್ತೆ ಹಾಳಾಗಿದೆ,road
ರಸ್ತೆ ಸರಿಪಡಿಸಬೇಕು,road
ರಸ್ತೆ ತುಂಬಾ ಕೆಟ್ಟ ಸ್ಥಿತಿಯಲ್ಲಿ ಇದೆ,road
ರಸ್ತೆಯಲ್ಲಿ ನೀರು ನಿಂತಿದೆ,road
ರಸ್ತೆ ಸಂಚಾರಕ್ಕೆ ಅನುಕೂಲಕರವಾಗಿಲ್ಲ,road
ರಸ್ತೆ ನಿರ್ಮಾಣ ಅಪೂರ್ಣವಾಗಿದೆ,road
ವಿದ್ಯುತ್ ಇಲ್ಲ,electricity
ವಿದ್ಯುತ್ ಕಡಿತ ಆಗುತ್ತಿದೆ,electricity
ವಿದ್ಯುತ್ ಸಮಸ್ಯೆ ಇದೆ,electricity
ಕರಂಟ್ ಬರುತ್ತಿಲ್ಲ,electricity
ವಿದ್ಯುತ್ ಸರಿಯಾಗಿ ಬರುತ್ತಿಲ್ಲ,electricity
ವಿದ್ಯುತ್ ಲೈನ್ ಸಮಸ್ಯೆ ಇದೆ,electricity
ಟ್ರಾನ್ಸ್‌ಫಾರ್ಮರ್ ದೋಷವಾಗಿದೆ,electricity
ವಿದ್ಯುತ್ ಹೋಗುತ್ತಿದೆ,electricity
ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಸಮಸ್ಯೆ ಇದೆ,health
ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ವೈದ್ಯರು ಇಲ್ಲ,health
ಔಷಧಿ ಲಭ್ಯವಿಲ್ಲ,health
ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಸೇವೆ ಇಲ್ಲ,health
ಆರೋಗ್ಯ ಸೇವೆ ಸರಿಯಾಗಿಲ್ಲ,health
ಆಸ್ಪತ್ರೆ ಸ್ವಚ್ಛತೆ ಇಲ್ಲ,health
ರೋಗಿಗಳಿಗೆ ಚಿಕಿತ್ಸೆ ಸಿಗುತ್ತಿಲ್ಲ,health
ಆಸ್ಪತ್ರೆ ಸಿಬ್ಬಂದಿ ಇಲ್ಲ,health
ಶಾಲೆಯಲ್ಲಿ ಶಿಕ್ಷಕರು ಇಲ್ಲ,education
ಶಾಲೆಯಲ್ಲಿ ಸೌಲಭ್ಯ ಇಲ್ಲ,education
ಶಿಕ್ಷಣದ ಗುಣಮಟ್ಟ ಕಡಿಮೆ,education
ಶಾಲೆ ಕಟ್ಟಡ ಹಾಳಾಗಿದೆ,education
ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಸೌಲಭ್ಯ ಇಲ್ಲ,education
ಶಾಲೆ ನಿರ್ವಹಣೆ ಸರಿಯಿಲ್ಲ,education
ಶಿಕ್ಷಕರು ಸರಿಯಾಗಿ ಬೋಧನೆ ಮಾಡುತ್ತಿಲ್ಲ,education
ಶಾಲೆಯಲ್ಲಿ ನೀರು ಇಲ್ಲ,education
ಪೊಲೀಸ್ ಸಹಾಯ ಸಿಗುತ್ತಿಲ್ಲ,police
ಪೊಲೀಸ್ ಪ್ರತಿಕ್ರಿಯೆ ಇಲ್ಲ,police
ಸುರಕ್ಷತೆ ಸಮಸ್ಯೆ ಇದೆ,police
ಕಳ್ಳತನ ನಡೆದಿದೆ,police
ಪೊಲೀಸ್ ಕ್ರಮ ಕೈಗೊಂಡಿಲ್ಲ,police
ಅಪರಾಧ ಹೆಚ್ಚಾಗಿದೆ,police
ಪೊಲೀಸ್ ಠಾಣೆ ಸ್ಪಂದನೆ ಇಲ್ಲ,police
ಸುರಕ್ಷತೆ ಕಡಿಮೆ ಇದೆ,police
text,category
ನಮ್ಮ ಮನೆಗೆ ನೀರು ಸರಿಯಾಗಿ ಬರುತ್ತಿಲ್ಲ,water
ನೀರಿನ ಪೈಪ್ ಒಡೆದಿದೆ,water
ನೀರು ಬಹಳ ಕಲುಷಿತವಾಗಿದೆ,water
ಕುಡಿಯುವ ನೀರಿನ ಕೊರತೆ ಇದೆ,water
ನೀರಿನ ಟ್ಯಾಂಕ್ ಖಾಲಿಯಾಗಿದೆ,water
ನೀರು ವಾರಕ್ಕೊಮ್ಮೆ ಮಾತ್ರ ಬರುತ್ತಿದೆ,water
ನೀರು ದುರ್ಗಂಧ ಬರುತ್ತಿದೆ,water
ನೀರು ಒತ್ತಡ ಕಡಿಮೆ ಇದೆ,water
ನೀರಿನ ಸರಬರಾಜು ತಾತ್ಕಾಲಿಕವಾಗಿ ನಿಂತಿದೆ,water
ನೀರಿನ ಸಂಪರ್ಕ ಇಲ್ಲ,water
ನಮ್ಮ ರಸ್ತೆಯಲ್ಲಿ ದೊಡ್ಡ ಗುಂಡಿಗಳಿವೆ,road
ರಸ್ತೆ ಸಂಪೂರ್ಣ ಹಾಳಾಗಿದೆ,road
ಮಳೆ ಬಂದಾಗ ರಸ್ತೆ ಕೆಸರು ಆಗುತ್ತದೆ,road
ರಸ್ತೆ ದುರಸ್ತಿ ಅಗತ್ಯವಿದೆ,road
ರಸ್ತೆಯಲ್ಲಿ ನೀರು ನಿಂತಿದೆ,road
